iter	Passed	Remaining
899	13905	1545
900	13919	1529
901	13934	1513
902	13949	1498
903	13963	1482
904	13977	1467
905	13992	1451
906	14007	1436
907	14021	1420
908	14035	1405
909	14049	1389
910	14064	1374
911	14078	1358
912	14093	1342
913	14109	1327
914	14123	1311
915	14137	1296
916	14151	1280
917	14165	1265
918	14181	1249
919	14195	1234
920	14209	1218
921	14223	1203
922	14238	1187
923	14253	1172
924	14267	1156
925	14282	1141
926	14297	1125
927	14312	1110
928	14328	1095
929	14342	1079
930	14357	1064
931	14372	1048
932	14386	1033
933	14400	1017
934	14415	1002
935	14429	986
936	14444	971
937	14459	955
938	14474	940
939	14488	924
940	14503	909
941	14517	893
942	14533	878
943	14547	863
944	14562	847
945	14576	832
946	14591	816
947	14606	801
948	14620	785
949	14634	770
950	14648	754
951	14663	739
952	14677	723
953	14691	708
954	14706	692
955	14720	677
956	14737	662
957	14751	646
958	14765	631
959	14780	615
960	14794	600
961	14809	584
962	14824	569
963	14839	554
964	14853	538
965	14868	523
966	14883	507
967	14897	492
968	14912	477
969	14926	461
970	14940	446
971	14955	430
972	14969	415
973	14983	399
974	14998	384
975	15012	369
976	15027	353
977	15041	338
978	15056	322
979	15071	307
980	15086	292
981	15100	276
982	15114	261
983	15129	246
984	15143	230
985	15157	215
986	15172	199
987	15186	184
988	15201	169
989	15216	153
990	15230	138
991	15244	122
992	15258	107
993	15272	92
994	15287	76
995	15302	61
996	15318	46
997	15332	30
998	15347	15
999	15361	0
